Participant_ID,Pre_Test_Score,Post_Test_Score,Time_to_Mastery_Before(hours),Time_to_Mastery_After(hours),Cognitive_Load_Score_Before,Cognitive_Load_Score_After,Feedback
P101,56,90,5.3,2.8,76,32,This tool is excellent. It cut my study time in half and the explanations are clear. It felt natural to use plus was genuinely helpful.
P102,69,90,5.1,2.9,72,26,I once lost whole afternoons inside PDFs - now I simply read and grasp the content. Thank you. The tool felt natural plus gave real help.
P103,64,94,6.9,2.9,72,25,The concept graph changes the way we work. I now see clearly how each part links to the rest. I used it without effort and it gave real help.
P104,60,89,6.9,2.6,79,31,I wish I had received the material sooner. Each quiz focuses on a single point and helps me to remember it. The whole process felt normal plus truly useful.
P105,57,91,6.6,2.9,75,31,The tutor shows patience and always presents every proof. My confidence has increased. Broadly speaking the tool felt natural to operate plus proved truly useful.
P106,56,91,5.6,2.1,67,32,I no longer lose myself in a flood of PDF files. The fact that the tool works in many languages rescues me every day. While I used it everything felt normal and truly useful.
P107,68,94,5.2,2.2,65,29,I love that it talks to me in words I understand when I need help. Broadly speaking it felt natural to use and truly useful.
P108,60,93,6.4,2,72,27,The mental effort drops sharply. I focus on learning instead of hunting for material. The tool feels natural and truly helps. No need to think - I simply move forward.
P109,60,93,5.9,2.3,67,32,The explanations stay close to the facts and are simple to follow. I sense that I direct the material. In sum the use felt natural plus truly useful.
P110,53,94,5.2,2.4,67,30,The system is easy to use and the agent works like a live tutor. I strongly recommend it. The whole experience felt natural plus truly useful.
P111,57,93,6,2.3,65,27,"I used to struggle with dense PDFs, but now the task is far simpler. Thank you. The experience felt natural and truly useful."
P112,52,82,5.1,2.8,75,25,The concept first approach works well. I now grasp the overall picture. The whole process felt natural and truly helped.
P113,51,91,6.8,2.4,69,27,The agent answers quickly and gives correct information. It works like a private teacher. I found it easy to use plus it truly helped.
P114,61,86,5.5,2.3,74,29,I never understood the material so clearly in the past. The quizzes fit the content exactly. 
P115,55,83,6.3,2.5,71,27,The tool seems similiar at first - yet after I grew familiar with it I found it excellent and differently performing than others tools..
P116,51,88,5.6,2.1,74,25,The program works in many languages - I can study in my native tongue. Everything felt normal to use and truly helped me.
P117,50,82,6,2.8,73,29,The concept graph helps a lot. I see how each idea links to the next. It feels natural to use and it gives real help.
P118,61,84,6.1,2.1,76,34,I learn faster and remember more. My mind carries less weight. I spend my time on practice rather than on trying to recall what the content said.
P119,61,82,5.4,3,71,31,The explanations are clear and the agent never lies. That is a huge relief. The experience felt natural plus truly helpful.
P120,66,86,6.9,2.8,73,25,I recommend this to every classmate. It changes everything. I used it and it felt natural and truly helped.
